"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"270",GMB,The Gambia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","101.768"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"276",DEU,Germany,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","121.127"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"288",GHA,Ghana,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","127.157"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"296",KIR,Kiribati,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","118.091"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"300",GRC,Greece,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","135.581"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"304",GRL,Greenland,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","97.993"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"308",GRD,Grenada,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","113.67"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"316",GUM,Guam,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","135.5"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"320",GTM,Guatemala,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","146.143"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"324",GIN,Guinea,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","109.614"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"328",GUY,Guyana,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","127.782"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"332",HTI,Haiti,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","109.066"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"340",HND,Honduras,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","144.073"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"344",HKG,"Hong Kong, China","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","125.026"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"348",HUN,Hungary,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","122.323"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"352",ISL,Iceland,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","137.377"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"356",IND,India,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","153.408"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"360",IDN,Indonesia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","138.426"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"364",IRN,Iran,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","126.369"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"368",IRQ,Iraq,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","112.343"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"372",IRL,Ireland,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","118.831"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"376",ISR,Israel,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","130.196"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"380",ITA,Italy,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","128.937"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"384",CIV,Côte d'Ivoire,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","131.514"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"388",JAM,Jamaica,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","119.174"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"392",JPN,Japan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","121.011"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"398",KAZ,Kazakhstan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","110.609"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"400",JOR,Jordan,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","125.657"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"404",KEN,Kenya,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","126.718"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"408",PRK,"Korea, Democratic People's Republic of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","63.437"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"410",KOR,"Korea, Republic of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","131.533"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"414",KWT,"Kuwait, the State of","000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","119.618"
